idpessoa,cidade,uf,risk_score,confidence,abc,recommended_product,pitch
010001OOOZ,"Votorantim",SP,100.00,90.00,,,""
010001PMKG,"Votorantim",SP,100.00,90.00,,,""
010001PUC3,"Votorantim",SP,100.00,90.00,,,""
010001QA22,"Votorantim",SP,100.00,90.00,,,""
010004C80S,"Votorantim",SP,100.00,90.00,,,""
010000MZ9Q,"Votorantim",SP,100.00,90.00,,,""
010000QIPV,"Votorantim",SP,100.00,90.00,,,""
010006FK03,"Votorantim",SP,100.00,90.00,,,""
010006H2AR,"Votorantim",SP,100.00,90.00,,,""
010006IR2Q,"Votorantim",SP,100.00,90.00,,,""
010006IV50,"Votorantim",SP,100.00,90.00,,,""
010006IW5E,"Votorantim",SP,100.00,90.00,,,""
010006K07G,"Votorantim",SP,100.00,90.00,,,""
010006K56R,"Votorantim",SP,100.00,90.00,,,""
010006KB2B,"Votorantim",SP,100.00,90.00,,,""
010006KI51,"Votorantim",SP,100.00,90.00,,,""
010006KT4M,"Votorantim",SP,100.00,90.00,,,""
010006L207,"Votorantim",SP,100.00,90.00,,,""
010006L45E,"Votorantim",SP,100.00,90.00,,,""
010006LH26,"Votorantim",SP,100.00,90.00,,,""
010006MSPN,"Votorantim",SP,100.00,90.00,,,""
010006O788,"Votorantim",SP,100.00,90.00,,,""
010006OTM0,"Votorantim",SP,100.00,90.00,,,""
010006P00Q,"Votorantim",SP,100.00,90.00,,,""
010006R3H2,"Votorantim",SP,100.00,90.00,,,""
010006RI38,"Votorantim",SP,100.00,90.00,,,""
010006SDK6,"Votorantim",SP,100.00,90.00,,,""
010006SY1T,"Votorantim",SP,100.00,90.00,,,""
010006TM0N,"Votorantim",SP,100.00,90.00,,,""
010006TS30,"Votorantim",SP,100.00,90.00,,,""
010006TV1I,"Votorantim",SP,100.00,90.00,,,""
010006TWJO,"Votorantim",SP,100.00,90.00,,,""
010006TY31,"Votorantim",SP,100.00,90.00,,,""
010006U400,"Votorantim",SP,100.00,90.00,,,""
010006U5GM,"Votorantim",SP,100.00,90.00,,,""
010006UB1E,"Votorantim",SP,100.00,90.00,,,""
010006ULD3,"Votorantim",SP,100.00,90.00,,,""
010006US2Y,"Votorantim",SP,100.00,90.00,,,""
010006UT0Q,"Votorantim",SP,100.00,90.00,,,""
010006V76Z,"Votorantim",SP,100.00,90.00,,,""
010006VE5O,"Votorantim",SP,100.00,90.00,,,""
010006VGF2,"Votorantim",SP,100.00,90.00,,,""
010006VSFM,"Votorantim",SP,100.00,90.00,,,""
010006WA3N,"Votorantim",SP,100.00,90.00,,,""
010006WM05,"Votorantim",SP,100.00,90.00,,,""
010006XAJJ,"Votorantim",SP,100.00,90.00,,,""
010006XRJ7,"Votorantim",SP,100.00,90.00,,,""
010006XZ21,"Votorantim",SP,100.00,90.00,,,""
010006Y808,"Votorantim",SP,100.00,90.00,,,""
010006YG32,"Votorantim",SP,100.00,90.00,,,""
010006YY9W,"Votorantim",SP,100.00,90.00,,,""
010006Z026,"Votorantim",SP,100.00,90.00,,,""
010006ZXB3,"Votorantim",SP,100.00,90.00,,,""
010006ZY0O,"Votorantim",SP,100.00,90.00,,,""
010007027D,"Votorantim",SP,100.00,90.00,,,""
010007048C,"Votorantim",SP,100.00,90.00,,,""
0100070E9A,"Votorantim",SP,100.00,90.00,,,""
0100070T2Q,"Votorantim",SP,100.00,90.00,,,""
0100071562,"Votorantim",SP,100.00,90.00,,,""
0100071E1P,"Votorantim",SP,100.00,90.00,,,""
0100072322,"Votorantim",SP,100.00,90.00,,,""
0100072A03,"Votorantim",SP,100.00,90.00,,,""
0100073MF2,"Votorantim",SP,100.00,90.00,,,""
01000740AZ,"Votorantim",SP,100.00,90.00,,,""
01000749Q8,"Votorantim",SP,100.00,90.00,,,""
0100074NT3,"Votorantim",SP,100.00,90.00,,,""
0100075RL2,"Votorantim",SP,100.00,90.00,,,""
01000763KI,"Votorantim",SP,100.00,90.00,,,""
01000766EP,"Votorantim",SP,100.00,90.00,,,""
0100077G5X,"Votorantim",SP,100.00,90.00,,,""
0100077R1S,"Votorantim",SP,100.00,90.00,,,""
0100077V02,"Votorantim",SP,100.00,90.00,,,""
0100078X3O,"Votorantim",SP,100.00,90.00,,,""
0100079H60,"Votorantim",SP,100.00,90.00,,,""
010007AC0E,"Votorantim",SP,100.00,90.00,,,""
010007AR3H,"Votorantim",SP,100.00,90.00,,,""
010007B59H,"Votorantim",SP,100.00,90.00,,,""
010007BG3E,"Votorantim",SP,100.00,90.00,,,""
010007BO1P,"Votorantim",SP,100.00,90.00,,,""
010007D77G,"Votorantim",SP,100.00,90.00,,,""
010007DN0K,"Votorantim",SP,100.00,90.00,,,""
010007DU1U,"Votorantim",SP,100.00,90.00,,,""
010007DX5S,"Votorantim",SP,100.00,90.00,,,""
010007E60F,"Votorantim",SP,100.00,90.00,,,""
010007EF6M,"Votorantim",SP,100.00,90.00,,,""
010007ES27,"Votorantim",SP,100.00,90.00,,,""
010007EVOB,"Votorantim",SP,100.00,90.00,,,""
010007FG6W,"Votorantim",SP,100.00,90.00,,,""
010007FJ0F,"Votorantim",SP,100.00,90.00,,,""
010007FT07,"Votorantim",SP,100.00,90.00,,,""
010007G820,"Votorantim",SP,100.00,90.00,,,""
010007GA9V,"Votorantim",SP,100.00,90.00,,,""
010007GK03,"Votorantim",SP,100.00,90.00,,,""
010007H3LJ,"Votorantim",SP,100.00,90.00,,,""
010007HH76,"Votorantim",SP,100.00,90.00,,,""
010007HT81,"Votorantim",SP,100.00,90.00,,,""
010007HZH2,"Votorantim",SP,100.00,90.00,,,""
010007IC52,"Votorantim",SP,100.00,90.00,,,""
010007IN99,"Votorantim",SP,100.00,90.00,,,""
010007ITE1,"Votorantim",SP,100.00,90.00,,,""
010007JO61,"Votorantim",SP,100.00,90.00,,,""
010007L11F,"Votorantim",SP,100.00,90.00,,,""
010007L532,"Votorantim",SP,100.00,90.00,,,""
010007LL0G,"Votorantim",SP,100.00,90.00,,,""
010007LMD5,"Votorantim",SP,100.00,90.00,,,""
010007LQEV,"Votorantim",SP,100.00,90.00,,,""
010007M20L,"Votorantim",SP,100.00,90.00,,,""
010007MC24,"Votorantim",SP,100.00,90.00,,,""
